protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
XRCC4,XRCC4,1999800,3070400,2974500,1724300,2372400,2149900,706570,5823000,2334800,3094200,1012200,3327900,1292300,47647,333170,909620,2615900,2107900,2425600,886340,808390,2259200
RT14,MRPS14,522450,836540,559370,217010,789930,1406800,1400700,1375300,1905700,1171000,475500,606970,675580,285240,1825400,776630,2062500,3230600,342960,1593500,1139000,3172600
SREK1,SREK1,2131300,1848900,2405700,1588700,3784800,2299000,2626300,954180,1973800,1715700,657350,489540,1045300,NA,1342300,833040,1211900,3148900,1553400,1289100,1973500,2771000
ETHE1,ETHE1,30613000,16294000,33498000,16216000,46963000,36774000,43818000,17172000,54582000,43548000,24433000,24362000,12427000,9056900,33629000,23183000,43071000,33915000,22966000,39259000,24645000,54559000
NRBP,NRBP1,7291600,9818800,6327700,5418400,12233000,9087700,11381000,3140700,8910100,11670000,2723000,3512900,2906900,2550000,6690200,2908800,6632300,25528000,5123600,9566900,4451000,14620000
PRS6A,PSMC3,30322000,50769000,28714000,29640000,60061000,51178000,62631000,28026000,51587000,42570000,17132000,17881000,22777000,9683000,33217000,13950000,75422000,98398000,27179000,27942000,38613000,92395000
SPG21,SPG21,2200400,4343800,1784500,2645900,3052400,2331100,5286800,2070800,5802200,2609400,661900,1550900,1188100,450360,1559200,1602300,6927500,2319700,5124400,2431200,1778900,2968900
SPTN1,SPTAN1,74745000,73351000,103640000,62959000,40990000,66750000,91666000,55098000,77868000,65497000,47359000,45158000,50533000,46453000,116550000,59286000,79082000,126340000,103470000,69005000,51872000,107470000
MGST2,MGST2,12585000,10253000,11468000,9776300,34266000,28303000,32771000,11195000,22496000,16773000,7612400,6699300,10067000,4666900,13014000,7439800,15201000,20774000,12681000,17545000,18464000,21782000
SUMO1,SUMO1,2314500,4309200,3272800,2670200,6024500,2939700,2848700,2090200,2295800,2571000,661510,1365500,1585500,592280,3713500,855150,4475000,3777100,2125900,2671800,2044500,3507500
CLUS,CLU,49198000,47807000,100610000,53026000,45293000,46827000,34544000,98244000,55223000,55189000,56999000,42587000,45259000,53475000,62179000,59186000,49521000,56022000,103750000,46325000,91549000,96487000
PSB2,PSMB2,28624000,38756000,16446000,24898000,47859000,48315000,42137000,24058000,58099000,40779000,16510000,17608000,17504000,9152000,31586000,11211000,47616000,75777000,23786000,32366000,46697000,69356000
RAB10,RAB10,6979000,7773500,1400100,1845200,15351000,11468000,6479500,2469400,15014000,9943300,1477900,4035200,2608400,189710,2629600,1833700,5567300,18058000,5192100,9299200,13775000,NA
PLVAP,PLVAP,511530,1620300,328080,1547400,1160800,1693000,2639500,574690,2278800,1363000,611030,808540,543040,646090,1213200,728230,1278000,1187600,1492400,1881600,1113100,1045900
SRBS1,SORBS1,7309200,2023300,5669600,1877000,1071600,3210800,6306800,8973100,955730,4695900,630040,4195700,3054400,5072500,10392000,1958400,2956500,4360800,9672000,5210600,6089000,7697500
SSU72,SSU72,1125100,1850300,670270,1440200,3709700,1866900,2900700,1012800,1277200,984580,105360,197730,555740,191610,1067700,136680,3396400,3927500,863260,910310,817480,1803000
SDC2,SDC2,849620,1555100,623830,1067500,3656200,1445500,1209100,921840,1996000,978990,657740,429710,490840,138420,1040500,465540,2515800,903670,588790,855210,1330400,575550
SPART,SPART,3344700,6894600,5784900,2334900,7811800,6245100,4200800,6447300,4549800,6122700,2181600,3305200,2287300,1596300,4184900,2589700,8446700,8175700,3867100,3601400,5208300,13730000
OAT,OAT,14372000,16799000,18676000,17814000,35699000,46813000,52432000,7399000,24074000,27984000,5757900,30615000,16083000,11994000,25902000,9782200,37380000,47398000,33282000,33192000,54876000,27355000
C1TM,MTHFD1L,1965700,2964500,5935100,3621500,2674000,3833800,10428000,4698600,5274000,5047100,3008000,4723600,1415100,2265600,3272200,3715100,5116700,9164800,2620600,5767500,5200400,3644500
MMAA,MMAA,432020,470180,475920,429660,2390900,927910,706590,200290,1038800,516510,258450,512850,730440,2262900,1090200,3509900,1460900,1003200,335170,1463000,783270,1384300
