protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
FABPH,FABP3,4111100,7393700,43704000,11449000,7636100,26545000,24900000,20433000,13319000,20614000,4493600,13809000,22764000,70268000,7920800,125330000,29429000,10778000
DPP4,DPP4,15407000,8741800,63931000,7306200,28711000,15161000,27894000,9740300,39174000,9088300,3745200,16398000,9520900,22962000,4196200,22707000,11285000,13025000
GLNA,GLUL,7910100,4425900,4871300,3251700,11710000,6079700,13391000,14749000,25795000,1939200,341580,3969900,15505000,8138900,489550,12225000,3978200,1628600
FIS1,FIS1,20217000,5930100,34745000,7918000,77156000,27612000,57441000,27283000,42294000,15385000,4480300,18793000,20105000,22369000,5376400,31251000,26092000,13616000
ARP5L,ARPC5L,15663000,6327100,18550000,10170000,25020000,18671000,10705000,26776000,36810000,7879100,3734400,16632000,11617000,18134000,3048900,10216000,11256000,6017900
PCBP1,PCBP1,153340000,75787000,223330000,139520000,516820000,221400000,246670000,353380000,535390000,80625000,34456000,206600000,166540000,183320000,47708000,199310000,214580000,161870000
LIMA1,LIMA1,5192900,5979200,9309400,5005600,12817000,6898900,11901000,13593000,16614000,2154000,2468800,10713000,4745800,5254000,5438100,6614800,2739300,5850100
DMA,HLA-DMA,3880100,5061500,11109000,3803900,10862000,7310800,17238000,18940000,26723000,4710600,973440,2554800,4322500,11377000,2327100,17576000,6292700,5130200
RALA,RALA,5452300,4394100,1644400,4932200,17596000,6577400,13016000,13323000,2029100,13311000,6523400,26879000,3893700,24047000,9643100,15600000,19310000,11289000
PCOC1,PCOLCE,5372300,9960500,16417000,16002000,23954000,32484000,18063000,35429000,42835000,12278000,1716900,10085000,23638000,16776000,508270,18210000,13174000,9862700
HCD2,HSD17B10,71398000,37728000,135400000,55371000,186730000,97346000,187520000,169320000,346950000,41314000,16691000,121440000,75321000,119190000,20975000,146560000,85215000,57119000
IDHP,IDH2,64059000,15867000,167280000,73007000,215910000,94556000,137860000,218810000,287520000,38336000,18131000,89249000,60940000,150270000,29456000,120210000,112990000,58104000
GPX1,GPX1,87263000,43998000,93000000,54739000,162440000,104850000,115810000,177370000,227900000,42015000,12217000,80507000,60313000,129740000,16913000,117590000,64962000,43429000
GMFG,GMFG,5510400,29485000,26408000,17912000,25444000,32535000,25761000,27671000,61258000,199350,1570700,24429000,14165000,22733000,4768600,37475000,16945000,12033000
KAD2,AK2,142330000,33809000,175930000,39964000,185760000,78751000,127090000,124030000,202930000,49662000,17782000,75774000,57275000,130330000,17427000,134170000,67058000,42976000
STK39,STK39,4104200,1989300,16416000,3313700,10314000,4032400,19921000,10421000,4714700,848210,1534600,1898900,2000900,1259900,105050,1920300,1655200,1420200
EIF3K,EIF3K,8571000,7750000,13471000,6679800,33442000,10463000,10820000,19578000,35907000,6986300,2018700,10840000,15144000,7871700,1370800,18848000,9514200,5692700
CATC,CTSC,37068000,35583000,121120000,50826000,273340000,68513000,126430000,208440000,284500000,22690000,12339000,102300000,61711000,148930000,30302000,166890000,70115000,28734000
LMF2,LMF2,679450,104090,4506400,1637500,4918300,1158200,2185100,1609200,7544400,730740,369420,1648600,1006700,3360900,217980,2403700,2189100,1086000
PPME1,PPME1,8184800,4763800,15278000,13532000,59287000,17513000,24792000,18446000,15416000,14058000,3352800,11066000,23733000,8195400,4939000,10322000,10910000,8161100
CYRIA,CYRIA,1677300,771830,6488400,1910200,3725200,5811800,1664100,4946800,5617900,447750,55979,2209600,1285800,865830,596860,5041500,4206300,2746500
SRPRB,SRPRB,15962000,14172000,40658000,23428000,50394000,26997000,45170000,37583000,57817000,8572500,752620,41559000,23407000,28987000,1977700,31432000,20063000,10433000
NDUA2,NDUFA2,7754800,1265300,14203000,5594900,9910900,8740500,11290000,14988000,20511000,1885500,1298500,4959300,4254900,11557000,2016900,12695000,8638400,3261600
HPRT,HPRT1,27105000,32382000,55733000,26367000,168580000,24967000,62045000,76348000,142710000,55457000,25498000,29542000,22284000,44140000,31090000,50927000,37049000,34681000
ANGT,AGT,33588000,29883000,27994000,22316000,25942000,29699000,13957000,44183000,42595000,91535000,64323000,33883000,77790000,44477000,37978000,41046000,52892000,59249000
RS15A,RPS15A,14540000,1744100,14862000,4266000,14894000,15327000,11413000,20170000,31127000,1107400,104090,5475200,4498900,7158900,855590,12273000,4299700,2044500
NPC2,NPC2,256000000,73132000,321830000,72960000,2349300000,145520000,374790000,243410000,86294000,131810000,55614000,124340000,183280000,304010000,97658000,770520000,269400000,170720000
ST1A4,SULT1A4,22150000,5345200,18530000,7904400,52092000,12162000,16753000,7928300,38618000,42184000,18456000,9489500,37783000,36563000,23283000,49983000,63024000,57081000
KV320,IGKV3-20,1282900,7429900,10422000,2141800,2735500,62722000,12200000,21628000,55820000,2485600,13880000,25362000,10700000,3376700,2632400,9096000,12572000,5754400
VDAC1,VDAC1,220650000,150080000,306780000,114270000,503640000,231230000,403370000,410670000,650310000,90801000,32173000,243650000,172260000,315340000,42871000,419600000,185040000,108640000
OSBP1,OSBP,9196700,9406400,18366000,11955000,34613000,13054000,17644000,23666000,34845000,112430000,210260000,13872000,11583000,9545400,278520000,14543000,11343000,6400600
LEG3,LGALS3,103250000,72736000,272970000,114290000,119530000,190810000,313870000,240180000,213150000,119430000,50424000,322580000,218610000,641670000,127040000,956150000,414340000,188920000
CBG,SERPINA6,20685000,24911000,23526000,10443000,10679000,24344000,13518000,24062000,29440000,49467000,35344000,35674000,40147000,33650000,26810000,29288000,47782000,37389000
SPB9,SERPINB9,36755000,22705000,75207000,27901000,85993000,105770000,48813000,82017000,121290000,34291000,6279500,66862000,37032000,50402000,11441000,40450000,49692000,31942000
PRPF3,PRPF3,1259200,8732200,8506200,3566700,9385400,2526200,4627900,4029000,5806000,10765000,1625400,18183000,9116100,22155000,7190700,2586900,8327000,9467000
SSRD,SSR4,23135000,13813000,107730000,39284000,116810000,50814000,46708000,63963000,101410000,12129000,6156300,18006000,21708000,43296000,99356000,67196000,28348000,9420400
RL27,RPL27,11030000,2700300,16527000,10720000,55112000,14045000,11670000,16399000,18486000,4195100,868350,10411000,10248000,23058000,2119300,12397000,16120000,5646300
FNTB,FNTB,3388900,755670,11665000,1572000,22239000,6171600,9436900,7049200,15155000,4905700,1254600,3074800,6427200,4526700,1678800,7757800,6947600,3649700
PSD12,PSMD12,19291000,17553000,22655000,16072000,63655000,26854000,28570000,44463000,95480000,20022000,13254000,21357000,17846000,22875000,18699000,32301000,18624000,17497000
CNN2,CNN2,43776000,27996000,87685000,40895000,98702000,103810000,51504000,135970000,144430000,29266000,25257000,63844000,54272000,57841000,18255000,43139000,49717000,59477000
THOP1,THOP1,4894200,4476900,7473700,4143000,12638000,5584200,5632500,9753300,11045000,2293400,1344400,4235500,4969600,5042000,2444900,7113800,4972600,3432600
CK054,C11orf54,22207000,8539800,157410000,28224000,44964000,54510000,57818000,65219000,52054000,19434000,5851400,40135000,35987000,23516000,7955700,32239000,77779000,25289000
ROA1,HNRNPA1,84304000,20971000,213990000,81446000,426620000,120250000,153270000,219310000,62609000,72883000,22569000,37137000,33925000,152290000,34603000,119360000,103880000,63844000
FRIH,FTH1,90268000,104990000,146870000,51378000,109950000,174900000,241670000,233560000,328920000,49287000,16958000,211070000,82960000,1987300000,29243000,173230000,100900000,57792000
PRELP,PRELP,198950000,147160000,208740000,68538000,112280000,617110000,352550000,303270000,213820000,525960000,176540000,547300000,827410000,275760000,133160000,637400000,525540000,405200000
EIF3M,EIF3M,15950000,5821600,23690000,14331000,70190000,18292000,14532000,39444000,84296000,10425000,2681800,20536000,21076000,28407000,4891400,32720000,22362000,14085000
S10AA,S100A10,1826600,645990,4453900,2061500,2074500,4024800,5446100,6860600,7914700,3351500,NA,12424000,5622600,8415800,2045000,10776000,15722000,5926700
CPNS1,CAPNS1,131780000,62786000,277070000,93125000,816440000,138190000,170640000,191440000,132460000,121480000,61096000,35130000,163810000,85086000,73199000,174260000,213470000,179980000
FKB1A,FKBP1A,47823000,64926000,129610000,47301000,154370000,97437000,80373000,125260000,78458000,78982000,30679000,230410000,167220000,233380000,120110000,207570000,302600000,130150000
RAE1L,RAE1,6781300,6331300,12901000,4369100,18267000,7735900,10466000,17012000,23084000,3793500,5047900,13176000,4473300,7701400,4943300,5821300,4456100,9456400
OLFL1,OLFML1,16775000,7070900,22196000,9030600,32940000,101540000,24341000,30554000,34242000,84980000,21515000,113880000,60936000,53854000,9520100,54301000,55064000,52007000
GSTK1,GSTK1,45917000,35357000,89920000,41059000,164160000,95858000,123750000,108400000,221120000,23530000,9428700,93615000,50629000,112060000,15996000,107300000,55863000,41344000
ALDOA,ALDOA,878930000,735400000,864760000,614970000,1713100000,906850000,605100000,1168200000,1616700000,356620000,141670000,686640000,653640000,742690000,249920000,913990000,751510000,527950000
LRC57,LRRC57,1247800,1949900,4800200,628140,2596700,3577200,2204700,3919100,6146200,4030600,849620,8756800,5717300,5956100,1862900,7065800,7705000,7094600
THIOM,TXN2,13294000,622460,20189000,9121400,28824000,15194000,27891000,23754000,43262000,8345700,1001700,16141000,8764700,27002000,1370800,19668000,11739000,6634800
FCHO2,FCHO2,7200800,3671900,10534000,5529800,10999000,10239000,13876000,12837000,28208000,6477800,1999900,4760300,4435200,9659600,3584200,12006000,6285100,7856000
GNS,GNS,5675500,9026600,24572000,8545900,46669000,13677000,24961000,14694000,33600000,8287300,1617700,10255000,13461000,15442000,2258400,30824000,8391300,10102000
SLIRP,SLIRP,8141300,2786300,15673000,4798300,41659000,6747400,17749000,10930000,15438000,4138200,684480,15579000,11988000,20995000,1609300,5013700,4519100,4232700
NECP2,NECAP2,11962000,8574300,31109000,13870000,55129000,37958000,35691000,43362000,73739000,7597900,2664100,29013000,20485000,29164000,4518500,40587000,22759000,16069000
NDUS2,NDUFS2,18734000,9412500,22113000,13369000,30493000,23904000,27565000,30227000,61183000,8044200,2023000,15586000,13171000,26665000,4007800,27617000,22640000,11886000
ATAD1,ATAD1,8212000,4616700,9647200,4593800,12542000,2708800,6655300,5516600,20170000,6999900,3183100,4921800,3127300,5559100,3399500,5381800,3729300,5325200
SKI8,SKIC8,14422000,6853600,34610000,12657000,56231000,17575000,18248000,17361000,49039000,9882700,3033300,10026000,18485000,15142000,3667800,32722000,20980000,12622000
PFD6,PFDN6,12368000,17265000,23537000,11339000,57969000,20838000,21192000,27893000,58318000,10143000,5580400,24746000,19177000,14834000,5535300,21534000,24972000,13272000
WDR82,WDR82,6796200,8179900,23195000,5845100,28270000,12956000,18264000,12652000,34756000,4019100,2868400,12225000,8030100,16521000,3379700,16889000,13009000,7371200
KGD4,KGD4,1411800,455620,3951100,875360,4011100,1662100,3035500,2239600,2446500,698310,292570,1353000,2549600,2470000,NA,966200,1624700,278010
FA12,F12,8003900,32645000,4125400,8759200,14523000,10188000,13143000,19992000,28137000,36491000,26513000,8088300,31542000,43274000,14305000,33751000,21705000,33699000
AL1B1,ALDH1B1,59464000,15748000,58753000,17843000,59933000,17672000,66585000,94472000,101730000,20956000,7618400,24686000,31469000,28752000,11712000,42548000,86012000,21623000
EIF3H,EIF3H,6127400,2003800,11304000,3770700,25584000,10193000,7526400,10741000,21564000,10720000,16781000,9031800,2427300,5415900,464320,2583800,5360800,2556400
CMA1,CMA1,5889800,8094600,27129000,3569600,5061200,22703000,22517000,12761000,14697000,14836000,14692000,62835000,33156000,9582600,8209700,26662000,23603000,24994000
SYTC,TARS1,20048000,94996000,31281000,12282000,121980000,18208000,18767000,36161000,63079000,5367200,6729500,55062000,32177000,32184000,2157200,40113000,35937000,24184000
ADAS,AGPS,3784000,959550,12380000,2772000,37679000,5580700,17722000,5270500,30934000,440400,NA,5335700,626170,17063000,638270,15285000,4533300,2755400
OTUB1,OTUB1,29732000,15335000,48527000,25745000,87133000,41769000,43002000,57545000,100300000,18830000,8079000,36809000,29896000,36149000,11174000,40725000,40095000,31173000
SARNP,SARNP,3685400,1484900,4849200,3394900,17108000,2633900,5601800,11315000,20834000,1811400,813220,275260,1290800,211330,NA,297170,743800,507580
RBM8A,RBM8A,16977000,15020000,25842000,13417000,49952000,20902000,31947000,37827000,51674000,10431000,7080900,24929000,19698000,24233000,3398900,29928000,17217000,11642000
BUD31,BUD31,2569700,860580,4728000,531150,7815700,4200800,4304600,4656600,6286300,2732200,1715400,2249400,3015500,4027800,673570,2133400,2117400,1613200
1433E,YWHAE,291880000,319250000,336800000,226670000,885580000,364450000,350260000,605370000,936690000,232970000,105870000,221370000,295740000,249730000,115230000,523670000,399850000,293760000
TIGAR,TIGAR,977650,2949000,1306000,771510,4791800,1468500,5285800,4500500,5519400,3415000,NA,4316900,1048200,2569300,562660,2886100,583740,238350
MTND,ADI1,3167700,4199800,5657400,2665300,13485000,5755200,4261100,7527300,13675000,2260600,1499900,5255100,3310800,6963100,1292700,4273100,6647300,2758900
GNL1,GNL1,7990500,3605000,8955900,3284000,24211000,8847900,8971200,15427000,27657000,7584100,1660100,8895500,6027800,11084000,1888200,8086800,9995300,6633800
MSS4,RABIF,1790900,516240,3352300,1709500,4310800,4695200,3209600,4320200,7754700,1635700,533920,1631000,2315100,3653200,752370,3604100,1825700,2024600
MFAP4,MFAP4,26960000,64498000,169050000,38399000,50676000,775190000,152780000,116730000,19747000,58189000,30415000,88380000,122150000,166710000,41816000,120280000,129910000,45365000
TM87A,TMEM87A,2467900,1465700,4603200,1234400,3133400,1309800,2346100,3060800,5841600,735890,368170,2025100,1410000,1882400,343610,2652000,1350300,903040
NC2B,DR1,4164800,1222900,10496000,3534800,29376000,4581300,3759000,3801900,10029000,3362400,638090,285780,2859100,1924200,309380,3305900,3289700,2706600
PRS8,PSMC5,16443000,8082800,61585000,16728000,109850000,26470000,38440000,33347000,122770000,15052000,19538000,29248000,24254000,35709000,27517000,36537000,37354000,21277000
PARVA,PARVA,34555000,14134000,77739000,22043000,40606000,88621000,44627000,56667000,61134000,77670000,26494000,140910000,100260000,83576000,27577000,96285000,136270000,85351000
DCPS,DCPS,12702000,8268900,58754000,11743000,29072000,24728000,28379000,35665000,38829000,9245500,3022900,18327000,18577000,18133000,6195100,21487000,30695000,15747000
NFU1,NFU1,1491800,2839100,4058800,889590,8295700,8560400,3686000,4302900,11664000,871950,303260,2166100,2103400,2285300,1725500,3558100,1745300,1002100
UBA3,UBA3,16747000,8641400,23113000,12086000,70260000,28022000,31635000,30557000,57606000,11054000,5506500,8387800,25483000,23491000,1508900,33610000,35055000,14896000
ATRAP,AGTRAP,6569400,2733300,10627000,4135600,14686000,6330500,9226000,8839000,18045000,2483000,946270,6796300,3037600,11455000,1539900,10290000,4707900,5070300
PRS4,PSMC1,20725000,5279000,46451000,20122000,56224000,33972000,39282000,51665000,141100000,22125000,8111100,18272000,13744000,41563000,14825000,56223000,39476000,22453000
ECI1,ECI1,26946000,8592700,57896000,15416000,46761000,30017000,55540000,22051000,82065000,14465000,4971500,28687000,18139000,40936000,6686000,38839000,26777000,17731000
CD34,CD34,18219000,18659000,25398000,54816000,9801900,33835000,25949000,17595000,17333000,46476000,27999000,131030000,102400000,51744000,34812000,91302000,123330000,133980000
SEPT9,SEPTIN9,59596000,16903000,105850000,35736000,206760000,103380000,120930000,161780000,175870000,38604000,13122000,88070000,64677000,81619000,21053000,104310000,91586000,62159000
CDC37,CDC37,33529000,18824000,64125000,32493000,133900000,51402000,51144000,74417000,146230000,20907000,7634800,51120000,49637000,42155000,11017000,67286000,57310000,41054000
NH2L1,SNU13,35610000,24498000,85733000,30698000,74906000,51621000,67642000,90994000,91072000,18944000,7860200,62072000,43546000,51252000,8181600,57696000,45917000,22115000
SCLY,SCLY,1820400,728720,3608000,1789200,2199300,2762700,1201400,3277600,4216500,350390,NA,2151700,2009000,1411600,163530,906470,2019500,1724200
DCTP1,DCTPP1,3135300,1503900,2740800,1875000,8315800,2848100,4515100,3340500,4168300,260520,2988400,2023400,1264000,1289700,NA,1442600,936640,826960
CRLF3,CRLF3,10136000,13502000,7038800,2536700,8306600,13822000,4279400,21945000,40452000,4321300,4443800,5382000,6675300,10964000,4370600,17842000,8641300,7710100
EIF3F,EIF3F,19820000,24295000,31421000,19453000,105280000,33701000,35542000,46549000,87456000,18468000,4176600,30127000,32063000,30555000,7356600,46087000,36354000,27724000
